Episode,Reward,Average_Reward,Episode_Length
0,-79963.0,-79963.0,0.005
1,-1830.0,-1830.0,0.005
2,-822.0,-822.0,0.005
3,-897.0,-822.0,0.005
4,-766.0,-766.0,0.005
5,-588.0,-588.0,0.005
6,-1042.0,-588.0,0.005
7,-668.0,-588.0,0.005
8,-616.0,-588.0,0.005
9,-738.0,-588.0,0.005
10,-444.0,-444.0,0.005
11,-676.0,-444.0,0.005
12,-455.0,-444.0,0.005
13,-502.0,-444.0,0.005
14,-591.0,-444.0,0.005
15,-380.0,-380.0,0.005
16,-453.0,-380.0,0.005
17,-390.0,-380.0,0.005
18,-492.0,-380.0,0.005
19,-345.0,-345.0,0.005
20,-497.0,-345.0,0.005
21,-319.0,-319.0,0.005
22,-387.0,-319.0,0.005
23,-450.0,-319.0,0.005
24,-312.0,-312.0,0.005
25,-437.0,-312.0,0.005
26,-300.0,-300.0,0.005
27,-403.0,-300.0,0.005
28,-346.0,-300.0,0.005
29,-342.0,-300.0,0.005
30,-319.0,-300.0,0.005
31,-370.0,-300.0,0.005
32,-409.0,-300.0,0.005
33,-309.0,-300.0,0.005
34,-241.0,-241.0,0.005
35,-392.0,-241.0,0.005
36,-424.0,-241.0,0.005
37,-412.0,-241.0,0.005
38,-305.0,-241.0,0.005
39,-248.0,-241.0,0.005
40,-309.0,-241.0,0.005
41,-324.0,-241.0,0.005
42,-408.0,-241.0,0.005
43,-341.0,-241.0,0.005
44,-319.0,-241.0,0.005
45,-365.0,-241.0,0.005
46,-229.0,-229.0,0.005
47,-309.0,-229.0,0.005
48,-302.0,-229.0,0.005
49,-425.0,-229.0,0.005
50,-242.0,-229.0,0.005
51,-233.0,-229.0,0.005
52,-243.0,-229.0,0.005
53,-328.0,-229.0,0.005
54,-313.0,-229.0,0.005
55,-273.0,-229.0,0.005
56,-230.0,-229.0,0.005
57,-345.0,-229.0,0.005
58,-258.0,-229.0,0.005
59,-335.0,-229.0,0.005
60,-271.0,-229.0,0.005
61,-284.0,-229.0,0.005
62,-216.0,-216.0,0.005
63,-430.0,-216.0,0.005
64,-257.0,-216.0,0.005
65,-274.0,-216.0,0.005
66,-416.0,-216.0,0.005
67,-266.0,-216.0,0.005
68,-243.0,-216.0,0.005
69,-265.0,-216.0,0.005
70,-283.0,-216.0,0.005
71,-247.0,-216.0,0.005
72,-238.0,-216.0,0.005
73,-224.0,-216.0,0.005
74,-368.0,-216.0,0.005
75,-249.0,-216.0,0.005
76,-341.0,-216.0,0.005
77,-356.0,-216.0,0.005
78,-251.0,-216.0,0.005
79,-234.0,-216.0,0.005
80,-243.0,-216.0,0.005
81,-336.0,-216.0,0.005
82,-284.0,-216.0,0.005
83,-277.0,-216.0,0.005
84,-270.0,-216.0,0.005
85,-295.0,-216.0,0.005
86,-329.0,-216.0,0.005
87,-247.0,-216.0,0.005
88,-302.0,-216.0,0.005
89,-331.0,-216.0,0.005
90,-226.0,-216.0,0.005
91,-238.0,-216.0,0.005
92,-245.0,-216.0,0.005
93,-242.0,-216.0,0.005
94,-272.0,-216.0,0.005
95,-393.0,-216.0,0.005
96,-174.0,-174.0,0.005
97,-324.0,-174.0,0.005
98,-233.0,-174.0,0.005
99,-324.0,-174.0,0.005
100,-254.0,-174.0,0.005
101,-286.0,-174.0,0.005
102,-247.0,-174.0,0.005
103,-249.0,-174.0,0.005
104,-280.0,-174.0,0.005
105,-341.0,-174.0,0.005
106,-207.0,-174.0,0.005
107,-270.0,-174.0,0.005
108,-299.0,-174.0,0.005
109,-330.0,-174.0,0.005
110,-225.0,-174.0,0.005
111,-235.0,-174.0,0.005
112,-304.0,-174.0,0.005
113,-229.0,-174.0,0.005
114,-234.0,-174.0,0.005
115,-268.0,-174.0,0.005
116,-288.0,-174.0,0.005
117,-285.0,-174.0,0.005
118,-234.0,-174.0,0.005
119,-386.0,-174.0,0.005
120,-247.0,-174.0,0.005
121,-277.0,-174.0,0.005
122,-317.0,-174.0,0.005
123,-192.0,-174.0,0.005
124,-193.0,-174.0,0.005
125,-298.0,-174.0,0.005
126,-275.0,-174.0,0.005
127,-266.0,-174.0,0.005
128,-189.0,-174.0,0.005
129,-274.0,-174.0,0.005
130,-195.0,-174.0,0.005
131,-247.0,-174.0,0.005
132,-331.0,-174.0,0.005
133,-236.0,-174.0,0.005
134,-271.0,-174.0,0.005
135,-196.0,-174.0,0.005
136,-289.0,-174.0,0.005
137,-269.0,-174.0,0.005
138,-225.0,-174.0,0.005
139,-230.0,-174.0,0.005
140,-197.0,-174.0,0.005
141,-284.0,-174.0,0.005
142,-263.0,-174.0,0.005
143,-381.0,-174.0,0.005
144,-192.0,-174.0,0.005
145,-310.0,-174.0,0.005
146,-193.0,-174.0,0.005
147,-251.0,-174.0,0.005
148,-325.0,-174.0,0.005
149,-228.0,-174.0,0.005
150,-260.0,-174.0,0.005
151,-374.0,-174.0,0.005
152,-313.0,-174.0,0.005
153,-269.0,-174.0,0.005
154,-203.0,-174.0,0.005
155,-369.0,-174.0,0.005
156,-396.0,-174.0,0.005
157,-242.0,-174.0,0.005
158,-229.0,-174.0,0.005
159,-295.0,-174.0,0.005
160,-317.0,-174.0,0.005
161,-235.0,-174.0,0.005
162,-287.0,-174.0,0.005
163,-275.0,-174.0,0.005
164,-235.0,-174.0,0.005
165,-267.0,-174.0,0.005
166,-501.0,-174.0,0.005
167,-236.0,-174.0,0.005
168,-231.0,-174.0,0.005
169,-235.0,-174.0,0.005
170,-196.0,-174.0,0.005
171,-269.0,-174.0,0.005
172,-190.0,-174.0,0.005
173,-310.0,-174.0,0.005
174,-225.0,-174.0,0.005
175,-359.0,-174.0,0.005
176,-309.0,-174.0,0.005
177,-186.0,-174.0,0.005
178,-279.0,-174.0,0.005
179,-306.0,-174.0,0.005
180,-315.0,-174.0,0.005
181,-346.0,-174.0,0.005
182,-242.0,-174.0,0.005
183,-285.0,-174.0,0.005
184,-265.0,-174.0,0.005
185,-353.0,-174.0,0.005
186,-262.0,-174.0,0.005
187,-203.0,-174.0,0.005
188,-194.0,-174.0,0.005
189,-262.0,-174.0,0.005
190,-307.0,-174.0,0.005
191,-306.0,-174.0,0.005
192,-324.0,-174.0,0.005
193,-458.0,-174.0,0.005
194,-240.0,-174.0,0.005
195,-233.0,-174.0,0.005
196,-311.0,-174.0,0.005
197,-284.0,-174.0,0.005
198,-228.0,-174.0,0.005
199,-228.0,-174.0,0.005
200,-275.0,-174.0,0.005
201,-323.0,-174.0,0.005
202,-265.0,-174.0,0.005
203,-323.0,-174.0,0.005
204,-230.0,-174.0,0.005
205,-418.0,-174.0,0.005
206,-236.0,-174.0,0.005
207,-273.0,-174.0,0.005
208,-232.0,-174.0,0.005
209,-231.0,-174.0,0.005
210,-241.0,-174.0,0.005
211,-417.0,-174.0,0.005
212,-242.0,-174.0,0.005
213,-243.0,-174.0,0.005
214,-237.0,-174.0,0.005
215,-232.0,-174.0,0.005
216,-323.0,-174.0,0.005
217,-358.0,-174.0,0.005
218,-342.0,-174.0,0.005
219,-303.0,-174.0,0.005
220,-307.0,-174.0,0.005
221,-232.0,-174.0,0.005
222,-303.0,-174.0,0.005
223,-255.0,-174.0,0.005
224,-266.0,-174.0,0.005
225,-241.0,-174.0,0.005
226,-371.0,-174.0,0.005
227,-281.0,-174.0,0.005
228,-257.0,-174.0,0.005
229,-243.0,-174.0,0.005
230,-280.0,-174.0,0.005
231,-389.0,-174.0,0.005
232,-405.0,-174.0,0.005
233,-271.0,-174.0,0.005
234,-321.0,-174.0,0.005
235,-277.0,-174.0,0.005
236,-297.0,-174.0,0.005
237,-389.0,-174.0,0.005
238,-235.0,-174.0,0.005
239,-225.0,-174.0,0.005
240,-355.0,-174.0,0.005
241,-325.0,-174.0,0.005
242,-340.0,-174.0,0.005
243,-232.0,-174.0,0.005
244,-329.0,-174.0,0.005
245,-189.0,-174.0,0.005
246,-311.0,-174.0,0.005
247,-277.0,-174.0,0.005
248,-429.0,-174.0,0.005
249,-237.0,-174.0,0.005
250,-349.0,-174.0,0.005
251,-278.0,-174.0,0.005
252,-196.0,-174.0,0.005
253,-397.0,-174.0,0.005
254,-242.0,-174.0,0.005
255,-190.0,-174.0,0.005
256,-235.0,-174.0,0.005
257,-277.0,-174.0,0.005
258,-193.0,-174.0,0.005
259,-257.0,-174.0,0.005
260,-291.0,-174.0,0.005
261,-344.0,-174.0,0.005
262,-318.0,-174.0,0.005
263,-224.0,-174.0,0.005
264,-261.0,-174.0,0.005
265,-256.0,-174.0,0.005
266,-270.0,-174.0,0.005
267,-369.0,-174.0,0.005
268,-297.0,-174.0,0.005
269,-217.0,-174.0,0.005
270,-270.0,-174.0,0.005
271,-264.0,-174.0,0.005
272,-232.0,-174.0,0.005
273,-304.0,-174.0,0.005
274,-307.0,-174.0,0.005
275,-278.0,-174.0,0.005
276,-318.0,-174.0,0.005
277,-291.0,-174.0,0.005
278,-228.0,-174.0,0.005
279,-319.0,-174.0,0.005
280,-302.0,-174.0,0.005
281,-275.0,-174.0,0.005
282,-231.0,-174.0,0.005
283,-232.0,-174.0,0.005
284,-234.0,-174.0,0.005
285,-269.0,-174.0,0.005
286,-295.0,-174.0,0.005
287,-205.0,-174.0,0.005
288,-270.0,-174.0,0.005
289,-232.0,-174.0,0.005
290,-255.0,-174.0,0.005
291,-242.0,-174.0,0.005
292,-196.0,-174.0,0.005
293,-261.0,-174.0,0.005
294,-262.0,-174.0,0.005
295,-281.0,-174.0,0.005
296,-277.0,-174.0,0.005
297,-235.0,-174.0,0.005
298,-234.0,-174.0,0.005
299,-216.0,-174.0,0.005
300,-234.0,-174.0,0.005
301,-282.0,-174.0,0.005
302,-236.0,-174.0,0.005
303,-164.0,-164.0,0.005
304,-325.0,-164.0,0.005
305,-176.0,-164.0,0.005
306,-201.0,-164.0,0.005
307,-230.0,-164.0,0.005
308,-168.0,-164.0,0.005
309,-283.0,-164.0,0.005
310,-198.0,-164.0,0.005
311,-199.0,-164.0,0.005
312,-244.0,-164.0,0.005
313,-265.0,-164.0,0.005
314,-224.0,-164.0,0.005
315,-275.0,-164.0,0.005
316,-239.0,-164.0,0.005
317,-333.0,-164.0,0.005
318,-232.0,-164.0,0.005
319,-284.0,-164.0,0.005
320,-254.0,-164.0,0.005
321,-245.0,-164.0,0.005
322,-196.0,-164.0,0.005
323,-232.0,-164.0,0.005
324,-272.0,-164.0,0.005
325,-254.0,-164.0,0.005
326,-187.0,-164.0,0.005
327,-196.0,-164.0,0.005
328,-231.0,-164.0,0.005
329,-199.0,-164.0,0.005
330,-322.0,-164.0,0.005
331,-228.0,-164.0,0.005
332,-260.0,-164.0,0.005
333,-324.0,-164.0,0.005
334,-244.0,-164.0,0.005
335,-224.0,-164.0,0.005
336,-261.0,-164.0,0.005
337,-229.0,-164.0,0.005
338,-188.0,-164.0,0.005
339,-188.0,-164.0,0.005
340,-230.0,-164.0,0.005
341,-313.0,-164.0,0.005
342,-196.0,-164.0,0.005
343,-311.0,-164.0,0.005
344,-237.0,-164.0,0.005
345,-288.0,-164.0,0.005
346,-168.0,-164.0,0.005
347,-245.0,-164.0,0.005
348,-232.0,-164.0,0.005
349,-223.0,-164.0,0.005
350,-197.0,-164.0,0.005
351,-196.0,-164.0,0.005
352,-280.0,-164.0,0.005
353,-199.0,-164.0,0.005
354,-257.0,-164.0,0.005
355,-223.0,-164.0,0.005
356,-196.0,-164.0,0.005
357,-177.0,-164.0,0.005
358,-245.0,-164.0,0.005
359,-268.0,-164.0,0.005
360,-193.0,-164.0,0.005
361,-261.0,-164.0,0.005
362,-194.0,-164.0,0.005
363,-190.0,-164.0,0.005
364,-194.0,-164.0,0.005
365,-247.0,-164.0,0.005
366,-197.0,-164.0,0.005
367,-226.0,-164.0,0.005
368,-272.0,-164.0,0.005
369,-248.0,-164.0,0.005
370,-240.0,-164.0,0.005
371,-190.0,-164.0,0.005
372,-194.0,-164.0,0.005
373,-235.0,-164.0,0.005
374,-190.0,-164.0,0.005
375,-254.0,-164.0,0.005
376,-236.0,-164.0,0.005
377,-162.0,-162.0,0.005
378,-266.0,-162.0,0.005
379,-289.0,-162.0,0.005
380,-197.0,-162.0,0.005
381,-270.0,-162.0,0.005
382,-316.0,-162.0,0.005
383,-237.0,-162.0,0.005
384,-259.0,-162.0,0.005
385,-245.0,-162.0,0.005
386,-224.0,-162.0,0.005
387,-219.0,-162.0,0.005
388,-229.0,-162.0,0.005
389,-244.0,-162.0,0.005
390,-186.0,-162.0,0.005
391,-191.0,-162.0,0.005
392,-242.0,-162.0,0.005
393,-255.0,-162.0,0.005
394,-194.0,-162.0,0.005
395,-183.0,-162.0,0.005
