episode,total_reward,best_reward,agent.epsilon
0,-50616.0,-50616.0,0.005
1,-2354.0,-2354.0,0.005
2,-2159.0,-2159.0,0.005
3,-2931.0,-2159.0,0.005
4,-3121.0,-2159.0,0.005
5,-2088.0,-2088.0,0.005
6,-2331.0,-2088.0,0.005
7,-3405.0,-2088.0,0.005
8,-4570.0,-2088.0,0.005
9,-2514.0,-2088.0,0.005
10,-2568.0,-2088.0,0.005
11,-2245.0,-2088.0,0.005
12,-4181.0,-2088.0,0.005
13,-3722.0,-2088.0,0.005
14,-2459.0,-2088.0,0.005
15,-3788.0,-2088.0,0.005
16,-3548.0,-2088.0,0.005
17,-3660.0,-2088.0,0.005
18,-1539.0,-1539.0,0.005
19,-3284.0,-1539.0,0.005
20,-2154.0,-1539.0,0.005
21,-1992.0,-1539.0,0.005
22,-1771.0,-1539.0,0.005
23,-3257.0,-1539.0,0.005
24,-2936.0,-1539.0,0.005
25,-2068.0,-1539.0,0.005
26,-1822.0,-1539.0,0.005
27,-2180.0,-1539.0,0.005
28,-2455.0,-1539.0,0.005
29,-1906.0,-1539.0,0.005
30,-1918.0,-1539.0,0.005
31,-1571.0,-1539.0,0.005
32,-2116.0,-1539.0,0.005
33,-1624.0,-1539.0,0.005
34,-1860.0,-1539.0,0.005
35,-1987.0,-1539.0,0.005
36,-1733.0,-1539.0,0.005
37,-1761.0,-1539.0,0.005
38,-1766.0,-1539.0,0.005
39,-1009.0,-1009.0,0.005
40,-1992.0,-1009.0,0.005
41,-2892.0,-1009.0,0.005
42,-1602.0,-1009.0,0.005
43,-1498.0,-1009.0,0.005
44,-2196.0,-1009.0,0.005
45,-1069.0,-1009.0,0.005
46,-1620.0,-1009.0,0.005
47,-1057.0,-1009.0,0.005
48,-1853.0,-1009.0,0.005
49,-1568.0,-1009.0,0.005
50,-1471.0,-1009.0,0.005
51,-1574.0,-1009.0,0.005
52,-1151.0,-1009.0,0.005
53,-1589.0,-1009.0,0.005
54,-1385.0,-1009.0,0.005
55,-2054.0,-1009.0,0.005
56,-1110.0,-1009.0,0.005
57,-1822.0,-1009.0,0.005
58,-925.0,-925.0,0.005
59,-2158.0,-925.0,0.005
60,-1213.0,-925.0,0.005
61,-1355.0,-925.0,0.005
62,-1343.0,-925.0,0.005
63,-1367.0,-925.0,0.005
64,-901.0,-901.0,0.005
65,-1511.0,-901.0,0.005
66,-1167.0,-901.0,0.005
67,-1496.0,-901.0,0.005
68,-996.0,-901.0,0.005
69,-1129.0,-901.0,0.005
70,-1533.0,-901.0,0.005
71,-1447.0,-901.0,0.005
72,-1257.0,-901.0,0.005
73,-1226.0,-901.0,0.005
74,-1197.0,-901.0,0.005
75,-1664.0,-901.0,0.005
76,-1188.0,-901.0,0.005
77,-1075.0,-901.0,0.005
