Episode,Reward,Average_Reward,Episode_Length
0,-8321.0,-8321.0,0.005
1,-5646.0,-5646.0,0.005
2,-4167.0,-4167.0,0.005
3,-4581.0,-4167.0,0.005
4,-2354.0,-2354.0,0.005
5,-2994.0,-2354.0,0.005
6,-2358.0,-2354.0,0.005
7,-2141.0,-2141.0,0.005
8,-1651.0,-1651.0,0.005
9,-2107.0,-1651.0,0.005
10,-2198.0,-1651.0,0.005
11,-1525.0,-1525.0,0.005
12,-1172.0,-1172.0,0.005
13,-1777.0,-1172.0,0.005
14,-1762.0,-1172.0,0.005
15,-1015.0,-1015.0,0.005
16,-1436.0,-1015.0,0.005
17,-1205.0,-1015.0,0.005
18,-1482.0,-1015.0,0.005
19,-1260.0,-1015.0,0.005
20,-1051.0,-1015.0,0.005
21,-1539.0,-1015.0,0.005
22,-1132.0,-1015.0,0.005
23,-838.0,-838.0,0.005
24,-1492.0,-838.0,0.005
25,-831.0,-831.0,0.005
26,-1093.0,-831.0,0.005
27,-1033.0,-831.0,0.005
28,-986.0,-831.0,0.005
29,-480.0,-480.0,0.005
30,-1264.0,-480.0,0.005
31,-845.0,-480.0,0.005
32,-1114.0,-480.0,0.005
33,-887.0,-480.0,0.005
34,-940.0,-480.0,0.005
35,-662.0,-480.0,0.005
36,-835.0,-480.0,0.005
37,-1128.0,-480.0,0.005
38,-854.0,-480.0,0.005
39,-668.0,-480.0,0.005
40,-645.0,-480.0,0.005
41,-935.0,-480.0,0.005
42,-641.0,-480.0,0.005
43,-952.0,-480.0,0.005
44,-795.0,-480.0,0.005
45,-416.0,-416.0,0.005
46,-840.0,-416.0,0.005
47,-397.0,-397.0,0.005
48,-1086.0,-397.0,0.005
49,-674.0,-397.0,0.005
50,-752.0,-397.0,0.005
51,-677.0,-397.0,0.005
52,-1110.0,-397.0,0.005
53,-591.0,-397.0,0.005
54,-749.0,-397.0,0.005
55,-447.0,-397.0,0.005
56,-601.0,-397.0,0.005
57,-559.0,-397.0,0.005
58,-959.0,-397.0,0.005
59,-684.0,-397.0,0.005
60,-582.0,-397.0,0.005
61,-920.0,-397.0,0.005
62,-550.0,-397.0,0.005
63,-713.0,-397.0,0.005
64,-604.0,-397.0,0.005
65,-659.0,-397.0,0.005
66,-648.0,-397.0,0.005
67,-511.0,-397.0,0.005
68,-680.0,-397.0,0.005
69,-689.0,-397.0,0.005
70,-480.0,-397.0,0.005
71,-667.0,-397.0,0.005
72,-707.0,-397.0,0.005
73,-406.0,-397.0,0.005
74,-967.0,-397.0,0.005
75,-613.0,-397.0,0.005
76,-494.0,-397.0,0.005
77,-510.0,-397.0,0.005
78,-539.0,-397.0,0.005
79,-658.0,-397.0,0.005
80,-606.0,-397.0,0.005
81,-687.0,-397.0,0.005
82,-350.0,-350.0,0.005
83,-570.0,-350.0,0.005
84,-485.0,-350.0,0.005
85,-731.0,-350.0,0.005
86,-503.0,-350.0,0.005
87,-404.0,-350.0,0.005
88,-418.0,-350.0,0.005
89,-675.0,-350.0,0.005
90,-533.0,-350.0,0.005
91,-520.0,-350.0,0.005
92,-737.0,-350.0,0.005
93,-497.0,-350.0,0.005
94,-666.0,-350.0,0.005
95,-441.0,-350.0,0.005
96,-365.0,-350.0,0.005
97,-532.0,-350.0,0.005
98,-509.0,-350.0,0.005
99,-481.0,-350.0,0.005
100,-398.0,-350.0,0.005
101,-548.0,-350.0,0.005
102,-726.0,-350.0,0.005
103,-385.0,-350.0,0.005
104,-489.0,-350.0,0.005
105,-397.0,-350.0,0.005
106,-887.0,-350.0,0.005
107,-452.0,-350.0,0.005
108,-489.0,-350.0,0.005
109,-357.0,-350.0,0.005
110,-480.0,-350.0,0.005
111,-445.0,-350.0,0.005
112,-685.0,-350.0,0.005
113,-441.0,-350.0,0.005
114,-596.0,-350.0,0.005
115,-565.0,-350.0,0.005
116,-622.0,-350.0,0.005
117,-544.0,-350.0,0.005
118,-497.0,-350.0,0.005
119,-475.0,-350.0,0.005
120,-499.0,-350.0,0.005
121,-284.0,-284.0,0.005
122,-514.0,-284.0,0.005
123,-641.0,-284.0,0.005
124,-491.0,-284.0,0.005
125,-407.0,-284.0,0.005
126,-463.0,-284.0,0.005
127,-397.0,-284.0,0.005
128,-329.0,-284.0,0.005
129,-699.0,-284.0,0.005
130,-505.0,-284.0,0.005
131,-350.0,-284.0,0.005
132,-419.0,-284.0,0.005
133,-363.0,-284.0,0.005
134,-523.0,-284.0,0.005
135,-401.0,-284.0,0.005
136,-571.0,-284.0,0.005
137,-748.0,-284.0,0.005
138,-428.0,-284.0,0.005
139,-494.0,-284.0,0.005
140,-487.0,-284.0,0.005
141,-594.0,-284.0,0.005
142,-354.0,-284.0,0.005
143,-475.0,-284.0,0.005
144,-496.0,-284.0,0.005
145,-352.0,-284.0,0.005
146,-343.0,-284.0,0.005
147,-538.0,-284.0,0.005
148,-414.0,-284.0,0.005
149,-471.0,-284.0,0.005
150,-410.0,-284.0,0.005
151,-576.0,-284.0,0.005
152,-623.0,-284.0,0.005
153,-373.0,-284.0,0.005
154,-422.0,-284.0,0.005
155,-319.0,-284.0,0.005
156,-634.0,-284.0,0.005
157,-364.0,-284.0,0.005
158,-367.0,-284.0,0.005
159,-491.0,-284.0,0.005
160,-382.0,-284.0,0.005
161,-465.0,-284.0,0.005
162,-456.0,-284.0,0.005
163,-567.0,-284.0,0.005
164,-531.0,-284.0,0.005
165,-320.0,-284.0,0.005
166,-589.0,-284.0,0.005
167,-342.0,-284.0,0.005
168,-367.0,-284.0,0.005
169,-490.0,-284.0,0.005
170,-601.0,-284.0,0.005
171,-355.0,-284.0,0.005
172,-422.0,-284.0,0.005
173,-430.0,-284.0,0.005
174,-272.0,-272.0,0.005
175,-398.0,-272.0,0.005
176,-483.0,-272.0,0.005
177,-463.0,-272.0,0.005
178,-555.0,-272.0,0.005
179,-528.0,-272.0,0.005
180,-352.0,-272.0,0.005
181,-459.0,-272.0,0.005
182,-351.0,-272.0,0.005
183,-454.0,-272.0,0.005
184,-443.0,-272.0,0.005
185,-416.0,-272.0,0.005
186,-312.0,-272.0,0.005
187,-296.0,-272.0,0.005
188,-406.0,-272.0,0.005
189,-331.0,-272.0,0.005
190,-500.0,-272.0,0.005
191,-424.0,-272.0,0.005
192,-364.0,-272.0,0.005
193,-397.0,-272.0,0.005
194,-346.0,-272.0,0.005
195,-364.0,-272.0,0.005
196,-399.0,-272.0,0.005
197,-370.0,-272.0,0.005
198,-270.0,-270.0,0.005
199,-352.0,-270.0,0.005
200,-423.0,-270.0,0.005
201,-435.0,-270.0,0.005
202,-323.0,-270.0,0.005
203,-277.0,-270.0,0.005
204,-317.0,-270.0,0.005
205,-326.0,-270.0,0.005
206,-405.0,-270.0,0.005
207,-607.0,-270.0,0.005
208,-343.0,-270.0,0.005
209,-341.0,-270.0,0.005
210,-315.0,-270.0,0.005
211,-361.0,-270.0,0.005
212,-357.0,-270.0,0.005
213,-364.0,-270.0,0.005
214,-352.0,-270.0,0.005
215,-282.0,-270.0,0.005
216,-495.0,-270.0,0.005
217,-315.0,-270.0,0.005
218,-384.0,-270.0,0.005
219,-411.0,-270.0,0.005
220,-376.0,-270.0,0.005
221,-304.0,-270.0,0.005
222,-397.0,-270.0,0.005
223,-296.0,-270.0,0.005
224,-315.0,-270.0,0.005
225,-527.0,-270.0,0.005
226,-354.0,-270.0,0.005
227,-319.0,-270.0,0.005
228,-389.0,-270.0,0.005
229,-328.0,-270.0,0.005
230,-326.0,-270.0,0.005
231,-325.0,-270.0,0.005
232,-285.0,-270.0,0.005
233,-396.0,-270.0,0.005
234,-374.0,-270.0,0.005
235,-416.0,-270.0,0.005
236,-314.0,-270.0,0.005
237,-409.0,-270.0,0.005
238,-308.0,-270.0,0.005
239,-274.0,-270.0,0.005
240,-298.0,-270.0,0.005
241,-233.0,-233.0,0.005
242,-479.0,-233.0,0.005
243,-327.0,-233.0,0.005
244,-312.0,-233.0,0.005
245,-319.0,-233.0,0.005
246,-333.0,-233.0,0.005
247,-354.0,-233.0,0.005
248,-313.0,-233.0,0.005
249,-307.0,-233.0,0.005
250,-353.0,-233.0,0.005
251,-233.0,-233.0,0.005
252,-397.0,-233.0,0.005
253,-243.0,-233.0,0.005
254,-301.0,-233.0,0.005
255,-331.0,-233.0,0.005
256,-344.0,-233.0,0.005
257,-365.0,-233.0,0.005
258,-315.0,-233.0,0.005
259,-301.0,-233.0,0.005
260,-420.0,-233.0,0.005
261,-400.0,-233.0,0.005
262,-322.0,-233.0,0.005
263,-266.0,-233.0,0.005
264,-283.0,-233.0,0.005
265,-392.0,-233.0,0.005
266,-369.0,-233.0,0.005
267,-234.0,-233.0,0.005
268,-265.0,-233.0,0.005
269,-406.0,-233.0,0.005
270,-353.0,-233.0,0.005
271,-269.0,-233.0,0.005
272,-341.0,-233.0,0.005
273,-268.0,-233.0,0.005
274,-316.0,-233.0,0.005
275,-344.0,-233.0,0.005
276,-395.0,-233.0,0.005
277,-332.0,-233.0,0.005
278,-307.0,-233.0,0.005
279,-359.0,-233.0,0.005
280,-358.0,-233.0,0.005
281,-314.0,-233.0,0.005
282,-273.0,-233.0,0.005
283,-312.0,-233.0,0.005
284,-322.0,-233.0,0.005
285,-335.0,-233.0,0.005
286,-425.0,-233.0,0.005
287,-304.0,-233.0,0.005
288,-268.0,-233.0,0.005
289,-242.0,-233.0,0.005
290,-348.0,-233.0,0.005
291,-313.0,-233.0,0.005
292,-272.0,-233.0,0.005
293,-318.0,-233.0,0.005
294,-432.0,-233.0,0.005
295,-239.0,-233.0,0.005
296,-351.0,-233.0,0.005
297,-357.0,-233.0,0.005
298,-268.0,-233.0,0.005
299,-344.0,-233.0,0.005
300,-341.0,-233.0,0.005
301,-326.0,-233.0,0.005
302,-261.0,-233.0,0.005
303,-307.0,-233.0,0.005
304,-269.0,-233.0,0.005
305,-383.0,-233.0,0.005
306,-412.0,-233.0,0.005
307,-355.0,-233.0,0.005
308,-312.0,-233.0,0.005
309,-280.0,-233.0,0.005
310,-358.0,-233.0,0.005
311,-283.0,-233.0,0.005
312,-275.0,-233.0,0.005
313,-306.0,-233.0,0.005
314,-327.0,-233.0,0.005
315,-248.0,-233.0,0.005
316,-246.0,-233.0,0.005
317,-489.0,-233.0,0.005
318,-334.0,-233.0,0.005
319,-325.0,-233.0,0.005
320,-243.0,-233.0,0.005
321,-316.0,-233.0,0.005
322,-235.0,-233.0,0.005
323,-348.0,-233.0,0.005
324,-277.0,-233.0,0.005
325,-379.0,-233.0,0.005
326,-271.0,-233.0,0.005
327,-512.0,-233.0,0.005
328,-464.0,-233.0,0.005
329,-276.0,-233.0,0.005
330,-237.0,-233.0,0.005
331,-277.0,-233.0,0.005
332,-239.0,-233.0,0.005
333,-281.0,-233.0,0.005
334,-285.0,-233.0,0.005
335,-420.0,-233.0,0.005
336,-409.0,-233.0,0.005
337,-340.0,-233.0,0.005
338,-264.0,-233.0,0.005
339,-313.0,-233.0,0.005
340,-251.0,-233.0,0.005
341,-234.0,-233.0,0.005
342,-290.0,-233.0,0.005
343,-317.0,-233.0,0.005
344,-479.0,-233.0,0.005
345,-310.0,-233.0,0.005
346,-229.0,-229.0,0.005
347,-242.0,-229.0,0.005
348,-289.0,-229.0,0.005
349,-313.0,-229.0,0.005
350,-275.0,-229.0,0.005
351,-513.0,-229.0,0.005
352,-323.0,-229.0,0.005
353,-439.0,-229.0,0.005
354,-235.0,-229.0,0.005
355,-272.0,-229.0,0.005
356,-450.0,-229.0,0.005
357,-337.0,-229.0,0.005
358,-311.0,-229.0,0.005
359,-280.0,-229.0,0.005
360,-340.0,-229.0,0.005
361,-407.0,-229.0,0.005
362,-245.0,-229.0,0.005
363,-240.0,-229.0,0.005
364,-440.0,-229.0,0.005
365,-278.0,-229.0,0.005
366,-229.0,-229.0,0.005
367,-334.0,-229.0,0.005
368,-322.0,-229.0,0.005
369,-335.0,-229.0,0.005
370,-355.0,-229.0,0.005
371,-235.0,-229.0,0.005
372,-345.0,-229.0,0.005
373,-270.0,-229.0,0.005
374,-268.0,-229.0,0.005
375,-265.0,-229.0,0.005
376,-345.0,-229.0,0.005
377,-280.0,-229.0,0.005
378,-326.0,-229.0,0.005
379,-404.0,-229.0,0.005
380,-248.0,-229.0,0.005
381,-323.0,-229.0,0.005
382,-333.0,-229.0,0.005
383,-230.0,-229.0,0.005
384,-448.0,-229.0,0.005
385,-422.0,-229.0,0.005
386,-246.0,-229.0,0.005
387,-278.0,-229.0,0.005
388,-285.0,-229.0,0.005
389,-293.0,-229.0,0.005
390,-341.0,-229.0,0.005
391,-315.0,-229.0,0.005
392,-336.0,-229.0,0.005
393,-282.0,-229.0,0.005
394,-301.0,-229.0,0.005
395,-437.0,-229.0,0.005
396,-321.0,-229.0,0.005
397,-238.0,-229.0,0.005
398,-274.0,-229.0,0.005
399,-290.0,-229.0,0.005
400,-269.0,-229.0,0.005
401,-270.0,-229.0,0.005
402,-308.0,-229.0,0.005
403,-353.0,-229.0,0.005
404,-251.0,-229.0,0.005
405,-278.0,-229.0,0.005
406,-271.0,-229.0,0.005
407,-394.0,-229.0,0.005
408,-359.0,-229.0,0.005
409,-265.0,-229.0,0.005
410,-339.0,-229.0,0.005
411,-237.0,-229.0,0.005
412,-391.0,-229.0,0.005
413,-273.0,-229.0,0.005
414,-317.0,-229.0,0.005
415,-304.0,-229.0,0.005
416,-353.0,-229.0,0.005
417,-264.0,-229.0,0.005
418,-233.0,-229.0,0.005
419,-279.0,-229.0,0.005
420,-288.0,-229.0,0.005
421,-248.0,-229.0,0.005
422,-302.0,-229.0,0.005
423,-414.0,-229.0,0.005
424,-238.0,-229.0,0.005
425,-238.0,-229.0,0.005
426,-245.0,-229.0,0.005
427,-293.0,-229.0,0.005
428,-268.0,-229.0,0.005
429,-311.0,-229.0,0.005
430,-344.0,-229.0,0.005
431,-310.0,-229.0,0.005
432,-285.0,-229.0,0.005
433,-285.0,-229.0,0.005
434,-340.0,-229.0,0.005
435,-232.0,-229.0,0.005
436,-313.0,-229.0,0.005
437,-243.0,-229.0,0.005
438,-282.0,-229.0,0.005
439,-249.0,-229.0,0.005
440,-363.0,-229.0,0.005
441,-236.0,-229.0,0.005
442,-276.0,-229.0,0.005
443,-295.0,-229.0,0.005
444,-326.0,-229.0,0.005
445,-244.0,-229.0,0.005
446,-353.0,-229.0,0.005
447,-276.0,-229.0,0.005
448,-265.0,-229.0,0.005
449,-319.0,-229.0,0.005
450,-366.0,-229.0,0.005
451,-280.0,-229.0,0.005
452,-275.0,-229.0,0.005
453,-235.0,-229.0,0.005
454,-278.0,-229.0,0.005
455,-192.0,-192.0,0.005
456,-272.0,-192.0,0.005
457,-337.0,-192.0,0.005
458,-236.0,-192.0,0.005
459,-230.0,-192.0,0.005
460,-379.0,-192.0,0.005
461,-257.0,-192.0,0.005
462,-259.0,-192.0,0.005
463,-259.0,-192.0,0.005
464,-296.0,-192.0,0.005
465,-231.0,-192.0,0.005
466,-387.0,-192.0,0.005
467,-284.0,-192.0,0.005
468,-349.0,-192.0,0.005
469,-334.0,-192.0,0.005
470,-330.0,-192.0,0.005
471,-268.0,-192.0,0.005
472,-269.0,-192.0,0.005
473,-323.0,-192.0,0.005
474,-196.0,-192.0,0.005
475,-269.0,-192.0,0.005
476,-323.0,-192.0,0.005
477,-330.0,-192.0,0.005
478,-244.0,-192.0,0.005
479,-292.0,-192.0,0.005
480,-269.0,-192.0,0.005
481,-328.0,-192.0,0.005
482,-266.0,-192.0,0.005
483,-313.0,-192.0,0.005
484,-316.0,-192.0,0.005
485,-234.0,-192.0,0.005
486,-325.0,-192.0,0.005
487,-315.0,-192.0,0.005
488,-347.0,-192.0,0.005
489,-278.0,-192.0,0.005
490,-278.0,-192.0,0.005
491,-242.0,-192.0,0.005
492,-228.0,-192.0,0.005
493,-236.0,-192.0,0.005
494,-238.0,-192.0,0.005
495,-285.0,-192.0,0.005
496,-228.0,-192.0,0.005
497,-237.0,-192.0,0.005
498,-423.0,-192.0,0.005
499,-265.0,-192.0,0.005
500,-234.0,-192.0,0.005
501,-349.0,-192.0,0.005
502,-314.0,-192.0,0.005
503,-274.0,-192.0,0.005
